"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2579","1. Login","1. Login","2026-06-20","passed","2026-06-20","","","",""
"","12681","1. Login y Logout","1. Login y Logout","2026-06-20","broken","2026-06-20","","","",""
"","1821","4.. Cliente fallido","4.. Cliente fallido","2026-06-20","broken","2026-06-20","","","",""
"","2231","7.Cotizar a un cliente(incompleta)","7.Cotizar a un cliente(incompleta)","2026-06-20","broken","2026-06-20","","","",""
"","1813","6. proveedor fallido","6. proveedor fallido","2026-06-20","broken","2026-06-20","","","",""
"","1733","4. Descargas","4. Descargas","2026-06-20","broken","2026-06-20","","","",""
"","2410","3.Crear Categoría","3.Crear Categoría ","2026-06-20","broken","2026-06-20","","","",""
"","1419","5. Crear Usuario interno","5. Crear Usuario interno","2026-06-20","broken","2026-06-20","","","",""
"","2226","8. Log out","8. Log out","2026-06-20","broken","2026-06-20","","","",""
"","2572","4. Crear Cliente","4. Crear Cliente","2026-06-20","broken","2026-06-20","","","",""
"","9259","1. Login","1. Login","2026-06-19","broken","2026-06-19","","","",""
"","7449","10. desactivar varios","10. desactivar varios","2026-06-20","broken","2026-06-20","","","",""
"","1830","5.Usuario fallido","5.Usuario fallido","2026-06-20","broken","2026-06-20","","","",""
"","3037","9. Desactivar producto","9. Desactivar producto","2026-06-20","broken","2026-06-20","","","",""
"","1794","8. Log out","8. Log out","2026-06-20","broken","2026-06-20","","","",""
"","12097","7. Descargas","7. Descargas","2026-06-20","broken","2026-06-20","","","",""
"","4041","1, Login falllido","1, Login falllido","2026-06-20","broken","2026-06-20","","","",""
"","11520","2. Crear producto","2. Crear producto","2026-06-20","broken","2026-06-20","","","",""
"","1803","2. registro fallido","2. registro fallido","2026-06-20","broken","2026-06-20","","","",""
"","2773","6. Crear proveedor","6. Crear proveedor","2026-06-20","broken","2026-06-20","","","",""
"","2975","11. reactivar","11. reactivar","2026-06-20","broken","2026-06-20","","","",""
"","2659","3.producto fallido","3.producto fallido","2026-06-20","broken","2026-06-20","","","",""
